X,Y,xG,lastAction,shotType,situation,result
0.0216,0.3312,0.218,BallTouch,RightFoot,OpenPlay,Goal
0.196,0.1597,0.037,Aerial,RightFoot,OpenPlay,SavedShot
0.1645,0.6409,0.15,TakeOn,LeftFoot,OpenPlay,BlockedShot
0.9,0.6054,0.266,TakeOn,LeftFoot,FromCorner,MissedShots
0.1962,0.588,0.152,Cross,LeftFoot,SetPiece,SavedShot
0.0489,0.6439,0.252,Pass,RightFoot,FromCorner,Goal
0.7711,0.1259,0.025,Rebound,RightFoot,SetPiece,SavedShot
0.8799,0.5018,0.325,Rebound,RightFoot,Penalty,Goal
0.0455,0.3334,0.213,Throughball,Head,OpenPlay,Goal
0.2425,0.3854,0.099,BallTouch,RightFoot,OpenPlay,Goal
0.8263,0.3803,0.157,Rebound,RightFoot,OpenPlay,MissedShots
0.2607,0.4942,0.106,Standard,RightFoot,Penalty,SavedShot
0.079,0.5094,0.45,Throughball,RightFoot,OpenPlay,MissedShots
0.8411,0.4061,0.194,TakeOn,RightFoot,SetPiece,MissedShots
0.0106,0.4836,0.727,Pass,Head,OpenPlay,Goal
0.0764,0.4395,0.39,HeadPass,RightFoot,FromCorner,MissedShots
0.8263,0.2153,0.059,Cross,RightFoot,SetPiece,MissedShots
0.0782,0.5598,0.387,Aerial,Head,OpenPlay,Goal
0.0124,0.813,0.069,HeadPass,RightFoot,OpenPlay,BlockedShot
0.0718,0.3439,0.215,Throughball,LeftFoot,SetPiece,MissedShots
0.0765,0.4992,0.461,Throughball,Head,OpenPlay,MissedShots
0.0455,0.4382,0.46,Aerial,LeftFoot,OpenPlay,Goal
0.1117,0.581,0.282,BallTouch,RightFoot,OpenPlay,MissedShots
0.9618,0.774,0.093,Cross,RightFoot,Penalty,SavedShot
0.9461,0.4578,0.492,Standard,LeftFoot,OpenPlay,ShotOnPost
0.1091,0.6886,0.149,Standard,LeftFoot,OpenPlay,MissedShots
0.1969,0.5487,0.168,Standard,RightFoot,SetPiece,SavedShot
0.1364,0.4683,0.277,Pass,RightFoot,OpenPlay,BlockedShot
0.1367,0.6076,0.211,Pass,Head,FromCorner,SavedShot
0.1794,0.6109,0.157,Rebound,Head,Penalty,SavedShot
0.1125,0.7157,0.121,Cross,RightFoot,OpenPlay,Goal
0.8251,0.2524,0.075,Aerial,RightFoot,FromCorner,MissedShots
0.7871,0.7216,0.073,Cross,Head,DirectFreekick,SavedShot
0.7766,0.4736,0.141,Throughball,RightFoot,OpenPlay,BlockedShot
0.3309,0.2214,0.027,Aerial,RightFoot,SetPiece,Goal
0.9638,0.4313,0.457,BallTouch,RightFoot,OpenPlay,MissedShots
0.0702,0.6073,0.305,Pass,RightFoot,OpenPlay,SavedShot
0.932,0.7075,0.148,Rebound,LeftFoot,DirectFreekick,SavedShot
0.8612,0.5354,0.27,HeadPass,LeftFoot,OpenPlay,MissedShots
0.9324,0.4047,0.334,Aerial,RightFoot,OpenPlay,MissedShots
0.2589,0.5795,0.097,HeadPass,LeftFoot,OpenPlay,ShotOnPost
0.9272,0.4546,0.428,Throughball,RightFoot,OpenPlay,SavedShot
0.7525,0.5131,0.117,Aerial,RightFoot,SetPiece,SavedShot
0.0351,0.6934,0.176,BallTouch,RightFoot,OpenPlay,MissedShots
0.048,0.5172,0.565,TakeOn,RightFoot,OpenPlay,SavedShot
0.7574,0.3247,0.078,Standard,RightFoot,OpenPlay,Goal
0.8187,0.9426,0.019,BallTouch,LeftFoot,OpenPlay,MissedShots
0.1879,0.255,0.072,Aerial,RightFoot,OpenPlay,SavedShot
0.8497,0.2059,0.061,TakeOn,RightFoot,OpenPlay,Goal
0.2918,0.5555,0.079,Rebound,RightFoot,OpenPlay,SavedShot
0.1469,0.7791,0.068,Rebound,Head,FromCorner,SavedShot
0.2143,0.4353,0.142,Cross,LeftFoot,OpenPlay,MissedShots
0.1134,0.31,0.145,Cross,RightFoot,FromCorner,SavedShot
0.8225,0.7944,0.054,Throughball,LeftFoot,OpenPlay,MissedShots
0.8492,0.258,0.087,HeadPass,Head,OpenPlay,SavedShot
0.13,0.3864,0.214,Throughball,RightFoot,FromCorner,BlockedShot
0.0665,0.2192,0.085,Pass,RightFoot,OpenPlay,SavedShot
0.0898,0.5425,0.384,Throughball,RightFoot,OpenPlay,MissedShots
0.75,0.4802,0.114,Aerial,RightFoot,SetPiece,MissedShots
0.8882,0.0585,0.022,Pass,Head,OpenPlay,MissedShots
0.2212,0.248,0.058,HeadPass,RightFoot,OpenPlay,Goal
